,NV,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,NV_CURR
1/11/21,0.0007414,0.0007414,0.0007414,0.0007414,0.0007414,0.0007414,0.0007414,0.0007414,0.0007414,0.0007414,0.0007414,0.0007414,0.0007414
1/12/21,0.00078353,0.00078202,0.00074702,0.00074702,0.00074702,0.00074702,0.00073116,0.00073116,0.00074702,0.00074702,0.00073116,0.00073116,0.00074814
1/13/21,0.00085908,0.00085465,0.00075806,0.00075806,0.00075806,0.00075806,0.00071473,0.00071473,0.00075806,0.00075806,0.00071473,0.00071473,0.00076128
1/14/21,0.00092722,0.00091978,0.00076861,0.00076861,0.00076861,0.00076861,0.00070212,0.00070212,0.00076861,0.00076861,0.00070212,0.00070212,0.00077387
1/15/21,0.00099222,0.00098147,0.00077851,0.00077851,0.00077851,0.00077851,0.00069144,0.00069144,0.00077851,0.00077851,0.00069144,0.00069144,0.00078584
1/16/21,0.0010562,0.0010417,0.00078758,0.00078758,0.00078758,0.00078758,0.00068162,0.00068162,0.00078758,0.00078758,0.00068162,0.00068162,0.00079713
1/17/21,0.0011203,0.001101,0.00079555,0.00079555,0.00079555,0.00079555,0.00067189,0.00067189,0.00079555,0.00079555,0.00067189,0.00067189,0.00080771
1/18/21,0.0011847,0.0011597,0.00080237,0.00080237,0.00080237,0.00080237,0.00066195,0.00066195,0.00080237,0.00080237,0.00066195,0.00066195,0.00081753
1/19/21,0.0012495,0.0012178,0.00080801,0.00080801,0.00080801,0.00080801,0.00065166,0.00065166,0.00080801,0.00080801,0.00065166,0.00065166,0.00082657
1/20/21,0.0013145,0.001275,0.00081246,0.00081246,0.00081246,0.00081246,0.00064095,0.00064095,0.00081246,0.00081246,0.00064095,0.00064095,0.00083479
1/21/21,0.0013793,0.0013308,0.0008157,0.0008157,0.0008157,0.0008157,0.0006298,0.0006298,0.0008157,0.0008157,0.0006298,0.0006298,0.00084215
1/22/21,0.0014435,0.0013849,0.00081772,0.00081772,0.00081772,0.00081772,0.00061822,0.00061822,0.00081772,0.00081772,0.00061822,0.00061822,0.00084864
1/23/21,0.0015066,0.0014368,0.00081849,0.00081849,0.00081849,0.00081849,0.00060624,0.00060624,0.00081849,0.00081849,0.00060624,0.00060624,0.00085423
1/24/21,0.0015679,0.0014858,0.00081802,0.00081802,0.00081802,0.00081802,0.00059387,0.00059387,0.00081802,0.00081802,0.00059387,0.00059387,0.00085888
1/25/21,0.001627,0.0015316,0.00081632,0.00081632,0.00081632,0.00081632,0.00058117,0.00058117,0.00081632,0.00081632,0.00058117,0.00058117,0.00086259
1/26/21,0.0016831,0.0015735,0.00081338,0.00081338,0.00081338,0.00081338,0.00056816,0.00056816,0.00081338,0.00081338,0.00056816,0.00056816,0.00086533
1/27/21,0.0017357,0.0016111,0.00080923,0.00080923,0.00080923,0.00080923,0.00055489,0.00055489,0.00080923,0.00080923,0.00055489,0.00055489,0.00086709
