,NV,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,NV_CURR
1/11/21,0.0030818,0.0030818,0.0030818,0.0030818,0.0030818,0.0030818,0.0030818,0.0030818,0.0030818,0.0030818,0.0030818,0.0030818,0.0030818
1/12/21,0.0032386,0.003233,0.0030921,0.0030921,0.0030921,0.0030921,0.0030283,0.0030283,0.0030921,0.0030921,0.0030283,0.0030283,0.0030963
1/13/21,0.0035207,0.0035044,0.0031158,0.0031158,0.0031158,0.0031158,0.0029414,0.0029414,0.0031158,0.0031158,0.0029414,0.0029414,0.0031277
1/14/21,0.0037772,0.0037497,0.003142,0.003142,0.003142,0.003142,0.0028746,0.0028746,0.003142,0.003142,0.0028746,0.0028746,0.0031614
1/15/21,0.0040239,0.0039841,0.0031689,0.0031689,0.0031689,0.0031689,0.0028191,0.0028191,0.0031689,0.0031689,0.0028191,0.0028191,0.003196
1/16/21,0.0042686,0.0042148,0.0031951,0.0031951,0.0031951,0.0031951,0.0027697,0.0027697,0.0031951,0.0031951,0.0027697,0.0027697,0.0032304
1/17/21,0.004515,0.0044436,0.0032189,0.0032189,0.0032189,0.0032189,0.0027227,0.0027227,0.0032189,0.0032189,0.0027227,0.0027227,0.0032639
1/18/21,0.0047641,0.0046711,0.0032395,0.0032395,0.0032395,0.0032395,0.0026765,0.0026765,0.0032395,0.0032395,0.0026765,0.0026765,0.0032959
1/19/21,0.0050157,0.0048971,0.0032567,0.0032567,0.0032567,0.0032567,0.0026301,0.0026301,0.0032567,0.0032567,0.0026301,0.0026301,0.003326
1/20/21,0.0052687,0.0051203,0.00327,0.00327,0.00327,0.00327,0.002583,0.002583,0.00327,0.00327,0.002583,0.002583,0.0033537
1/21/21,0.0055216,0.0053389,0.0032793,0.0032793,0.0032793,0.0032793,0.002535,0.002535,0.0032793,0.0032793,0.002535,0.002535,0.0033789
1/22/21,0.0057724,0.0055511,0.0032844,0.0032844,0.0032844,0.0032844,0.002486,0.002486,0.0032844,0.0032844,0.002486,0.002486,0.0034011
1/23/21,0.0060189,0.0057546,0.0032851,0.0032851,0.0032851,0.0032851,0.0024358,0.0024358,0.0032851,0.0032851,0.0024358,0.0024358,0.0034203
1/24/21,0.0062588,0.0059473,0.0032813,0.0032813,0.0032813,0.0032813,0.0023847,0.0023847,0.0032813,0.0032813,0.0023847,0.0023847,0.0034363
1/25/21,0.0064897,0.006127,0.0032729,0.0032729,0.0032729,0.0032729,0.0023325,0.0023325,0.0032729,0.0032729,0.0023325,0.0023325,0.0034489
1/26/21,0.006709,0.0062916,0.0032599,0.0032599,0.0032599,0.0032599,0.0022794,0.0022794,0.0032599,0.0032599,0.0022794,0.0022794,0.0034579
1/27/21,0.0069141,0.006439,0.0032424,0.0032424,0.0032424,0.0032424,0.0022256,0.0022256,0.0032424,0.0032424,0.0022256,0.0022256,0.0034633
1/28/21,0.0071029,0.0065676,0.0032204,0.0032204,0.0032204,0.0032204,0.002171,0.002171,0.0032204,0.0032204,0.002171,0.002171,0.0034649
1/29/21,0.0072729,0.0066757,0.003194,0.003194,0.003194,0.003194,0.0021159,0.0021159,0.003194,0.003194,0.0021159,0.0021159,0.0034628
1/30/21,0.0074221,0.0067621,0.0031632,0.0031632,0.0031632,0.0031632,0.0020604,0.0020604,0.0031632,0.0031632,0.0020604,0.0020604,0.0034569
1/31/21,0.007549,0.0068259,0.0031282,0.0031282,0.0031282,0.0031282,0.0020045,0.0020045,0.0031282,0.0031282,0.0020045,0.0020045,0.0034471
2/1/21,0.007652,0.0068664,0.0030892,0.0030892,0.0030892,0.0030892,0.0019485,0.0019485,0.0030892,0.0030892,0.0019485,0.0019485,0.0034335
2/2/21,0.0077301,0.0068836,0.0030483,0.0030464,0.0030468,0.0030464,0.001893,0.0018924,0.0030464,0.0030464,0.0018924,0.0018924,0.0034161
2/3/21,0.0077828,0.0068775,0.0030517,0.003,0.0030103,0.003,0.0018525,0.0018363,0.003,0.003,0.0018363,0.0018363,0.0033949
2/4/21,0.0078097,0.0068488,0.0031593,0.0029503,0.0029919,0.0029503,0.0018453,0.0017805,0.0029503,0.0029503,0.0017805,0.0017805,0.0033701
2/5/21,0.0078111,0.0067988,0.0033022,0.0028978,0.0029779,0.0028978,0.0018491,0.0017252,0.0028978,0.0028978,0.0017252,0.0017252,0.0033417
2/6/21,0.0077875,0.0067282,0.0034113,0.0028426,0.0029542,0.0028426,0.0018422,0.0016704,0.0028426,0.0028426,0.0016704,0.0016704,0.0033098
2/7/21,0.0077397,0.0066384,0.0034991,0.0027851,0.0029236,0.0027851,0.0018286,0.0016162,0.0027851,0.0027851,0.0016162,0.0016162,0.0032746
2/8/21,0.0076688,0.0065309,0.003572,0.0027254,0.0028875,0.0027254,0.0018105,0.0015628,0.0027254,0.0027254,0.0015628,0.0015628,0.0032362
2/9/21,0.0075764,0.0064073,0.0036338,0.0026638,0.0028471,0.0026638,0.0017894,0.0015101,0.0026638,0.0026638,0.0015101,0.0015101,0.0031948
2/10/21,0.007464,0.0062692,0.0036861,0.0026006,0.002803,0.0026006,0.001766,0.0014582,0.0026006,0.0026006,0.0014582,0.0014582,0.0031506
2/11/21,0.0073332,0.0061184,0.00373,0.0025361,0.0027558,0.0025361,0.0017409,0.0014072,0.0025361,0.0025361,0.0014072,0.0014072,0.0031037
2/12/21,0.0071861,0.0059566,0.0037658,0.0024705,0.0027058,0.0024705,0.0017145,0.0013572,0.0024705,0.0024705,0.0013572,0.0013572,0.0030543
2/13/21,0.0070243,0.0057855,0.0037937,0.0024041,0.0026533,0.0024041,0.0016868,0.0013082,0.0024041,0.0024041,0.0013082,0.0013082,0.0030028
2/14/21,0.0068499,0.0056069,0.0038138,0.002337,0.0025986,0.002337,0.0016582,0.0012603,0.002337,0.002337,0.0012603,0.0012603,0.0029491
2/15/21,0.0066647,0.0054223,0.0038261,0.0022695,0.0025421,0.0022695,0.0016286,0.0012134,0.0022695,0.0022695,0.0012134,0.0012134,0.0028937
2/16/21,0.0064706,0.0052331,0.0038306,0.0022018,0.002484,0.0022018,0.0015983,0.0011677,0.0022018,0.0022018,0.0011677,0.0011677,0.0028366
2/17/21,0.0062693,0.0050409,0.0038275,0.0021341,0.0024245,0.0021341,0.0015673,0.001123,0.0021341,0.0021341,0.001123,0.001123,0.0027781
2/18/21,0.0060626,0.004847,0.0038168,0.0020666,0.0023638,0.0020666,0.0015357,0.0010796,0.0020666,0.0020666,0.0010796,0.0010796,0.0027185
2/19/21,0.0058518,0.0046524,0.0037987,0.0019994,0.0023022,0.0019994,0.0015035,0.0010372,0.0019994,0.0019994,0.0010372,0.0010372,0.0026578
2/20/21,0.0056387,0.0044584,0.0037734,0.0019328,0.00224,0.0019328,0.001471,0.0009961,0.0019328,0.0019328,0.0009961,0.0009961,0.0025964
2/21/21,0.0054243,0.0042658,0.0037413,0.0018668,0.0021772,0.0018668,0.001438,0.00095614,0.0018668,0.0018668,0.00095614,0.00095614,0.0025343
2/22/21,0.0052101,0.0040755,0.0037025,0.0018016,0.0021141,0.0018016,0.0014048,0.00091734,0.0018016,0.0018016,0.00091734,0.00091734,0.0024718
2/23/21,0.004997,0.0038883,0.0036576,0.0017373,0.002051,0.0017373,0.0013713,0.00087973,0.0017373,0.0017373,0.00087973,0.00087973,0.002409
2/24/21,0.0047861,0.0037048,0.0036068,0.0016741,0.0019879,0.0016741,0.0013377,0.00084328,0.0016741,0.0016741,0.00084328,0.00084328,0.0023462
2/25/21,0.0045782,0.0035256,0.0035506,0.001612,0.001925,0.001612,0.001304,0.000808,0.001612,0.001612,0.000808,0.000808,0.0022834
2/26/21,0.004374,0.003351,0.0034894,0.001551,0.0018626,0.001551,0.0012702,0.00077386,0.001551,0.001551,0.00077386,0.00077386,0.0022209
2/27/21,0.0041742,0.0031816,0.0034236,0.0014914,0.0018006,0.0014914,0.0012366,0.00074087,0.0014914,0.0014914,0.00074087,0.00074087,0.0021586
2/28/21,0.0039793,0.0030175,0.0033537,0.0014331,0.0017393,0.0014331,0.001203,0.000709,0.0014331,0.0014331,0.000709,0.000709,0.0020969
3/1/21,0.0037897,0.0028591,0.0032801,0.0013762,0.0016788,0.0013762,0.0011695,0.00067823,0.0013762,0.0013762,0.00067823,0.00067823,0.0020356
3/2/21,0.0036058,0.0027064,0.0032034,0.0013208,0.0016192,0.0013208,0.0011363,0.00064855,0.0013208,0.0013208,0.00064855,0.00064855,0.0019751
3/3/21,0.0034279,0.0025595,0.0031239,0.0012668,0.0015606,0.0012668,0.0011034,0.00061995,0.0012668,0.0012668,0.00061995,0.00061995,0.0019153
3/4/21,0.0032562,0.0024186,0.003042,0.0012143,0.001503,0.0012143,0.0010707,0.00059239,0.0012143,0.0012143,0.00059239,0.00059239,0.0018564
3/5/21,0.0030908,0.0022837,0.0029583,0.0011634,0.0014465,0.0011634,0.0010384,0.00056585,0.0011634,0.0011634,0.00056585,0.00056585,0.0017984
3/6/21,0.0029317,0.0021546,0.0028731,0.001114,0.0013913,0.001114,0.0010065,0.00054033,0.001114,0.001114,0.00054033,0.00054033,0.0017414
3/7/21,0.0027791,0.0020314,0.0027868,0.0010661,0.0013373,0.0010661,0.00097497,0.00051577,0.0010661,0.0010661,0.00051577,0.00051577,0.0016854
3/8/21,0.0026329,0.001914,0.0026997,0.0010198,0.0012846,0.0010198,0.00094394,0.00049218,0.0010198,0.0010198,0.00049218,0.00049218,0.0016305
3/9/21,0.0024931,0.0018022,0.0026123,0.00097497,0.0012332,0.00097497,0.00091339,0.00046952,0.00097497,0.00097497,0.00046952,0.00046952,0.0015768
3/10/21,0.0023595,0.001696,0.0025249,0.00093219,0.0011833,0.0009318,0.00088348,0.00044791,0.00093171,0.00093171,0.00044776,0.00044776,0.0015242
3/11/21,0.0022321,0.0015951,0.0024376,0.00089122,0.0011349,0.0008902,0.00085418,0.00042728,0.00088995,0.00088995,0.00042688,0.00042688,0.0014728
3/12/21,0.0021107,0.0014994,0.002351,0.00085156,0.0010878,0.00085006,0.00082541,0.00040745,0.00084969,0.00084969,0.00040685,0.00040685,0.0014226
