DAY,# MILLION (first) DOSES ,CUMULATIVE MILLION (FIRST) DOSES,,,,,,,
14-Dec,0.142857143,0.142857143,,,,,,,
15-Dec,0.142857143,0.285714286,,,,,,,
16-Dec,0.142857143,0.428571429,,,,,,,
17-Dec,0.142857143,0.571428571,,,,,,,
18-Dec,0.142857143,0.714285714,,,,,,,
19-Dec,0.142857143,0.857142857,,,,,,,
20-Dec,0.142857143,1,,,,,,,
21-Dec,0.214285714,1.214285714,,,,,,,
22-Dec,0.214285714,1.428571429,,,,,,,
23-Dec,0.214285714,1.642857143,,,,,,,
24-Dec,0.214285714,1.857142857,,,,,,,
25-Dec,0.214285714,2.071428571,,,,,,,
26-Dec,0.214285714,2.285714286,,,,,,,
27-Dec,0.214285714,2.5,,,,,,,
28-Dec,0.357142857,2.857142857,,,,,,,
29-Dec,0.357142857,3.214285714,,,,,,,
30-Dec,0.357142857,3.571428571,,,,,,,
31-Dec,0.357142857,3.928571429,,,,,,,
1-Jan,0.357142857,4.285714286,,,,,,,
2-Jan,0.357142857,4.642857143,,,,,,,
3-Jan,0.357142857,5,,,,,,,
4-Jan,0.714285714,5.714285714,,,,,,,
5-Jan,0.714285714,6.428571429,,,,,,,
6-Jan,0.714285714,7.142857143,,,,,,,
7-Jan,0.714285714,7.857142857,,,,,,,
8-Jan,0.714285714,8.571428571,,,,,,,
9-Jan,0.714285714,9.285714286,,,,,,,
10-Jan,0.714285714,10,,,,,,,
11-Jan,0.714285714,10.71428571,,,,,,,
12-Jan,0.714285714,11.42857143,,,,,,,
13-Jan,0.714285714,12.14285714,,,,,,,
14-Jan,0.714285714,12.85714286,,,,,,,
15-Jan,0.714285714,13.57142857,,,,,,,
16-Jan,0.714285714,14.28571429,,,,,,,
17-Jan,0.714285714,15,,,,,,,
18-Jan,0.714285714,15.71428571,,,,,,,
19-Jan,0.714285714,16.42857143,,,,,,,
20-Jan,0.714285714,17.14285714,,,,,,,
21-Jan,0.714285714,17.85714286,,,,,,,
22-Jan,0.714285714,18.57142857,,,,,,,
